,Text,sentiment
0, does this work with red apples,pos
1, Buy Apple stock,neu
2, Buy Apple Stock,neg
3,Bro I just wanted my pickle and chocolate covered pretzels and their Apple Pay didn’t work 🥲 I wanna cry,pos
4,"4. BLACK BIRD

A complex crime drama that never oversells itself. With an understated confidence and unsettling atmosphere, the show weaves a compelling story you can’t put down. Egerton  Hauser are doing some of their best work ever. This is top-notch TV.

Watch it on Apple TV. ",neg
5,"  -  deemed that as a unfair advantage, as I could use the spell check! Which after having it approved by the examining biard, that it had no such option, nor the Apple ][ se portable computer I had also gotten approved to use! 

That said when I used PC’s in my work schemes I -",pos
6,Here’s the thing. I’ll be okay. But every year without fail I get hit with the new years blues and I just want to sit with my friends and drink sparkling apple juice and draw and not be at work with people who are making me anxious.,neg
7, Jeez it would be like selling apple stock before iPhone was released because you feared iPod was all that they can achieve.,neg
8,The fact that Apple Maps knows where I work and where my home is and the times that I drive to them concerns me.,neg
9, If you go into accessibility there may be something for this. Idk though since I barely understand how any of my Apple products work lol.,neg
10,apple music sing feature is quite cool. great work from steve jobs,neg
11,"2017 Apple MacBook Air with 1.8GHz Intel Core i5 (13-inch, 8GB RAM, 128GB SSD StorageConfusion (RenewedConfusion #Amazon #ad eyes backhand_index_pointing_downmedium-light_skin_tone

Renewed products look and work like new. These pre-owned products have been inspected and tested by Amazon-qualified suppliers, whic...

",neg
12," Maybe we should apologise for the eaten apple in the Garden of Eden at the same time? Grow up Whoopi, you're becoming a laughing stock!",neg
13,"Check out my new single ""WORK IT! WORKOUT!"" distributed by  and live on Apple Music! ",pos
14, We can claim all kinds of things as being supportive of the work to be done. Agatha Christie used to write her novels while sitting in a bathtub filled with warm water and bobbing apples. Maybe try programming like that?,pos
15,"P.S. Some exciting things for next year? Supporter Openhouse, our first home game, our eMLS Cup games, our HYPE video, some special work for Apple TV, some very cool partnerships... St. Louis City making a statement.

GOOD TIMES AHEAD!",neg
16,"Dear   

It’s 2023 already, surely, you can give us a calendar function where we can add work outs to each day? I want to schedule my week!",pos
17, My favourite Rangers podcast. Listen religiously through Apple’s podcast app and just wanted to say keep up the amazing work. Happy new year 🇬🇧🇬🇧🇬🇧,pos
18, When we gave the original iPod to our daughter for Christmas I thought of buying Apple stock—but didn't. Biggest regret of my life.,neg
19,"  Totally agree, John Is Spreading misinformation, mixing apples and orenges and have no clu for it. Yet John makes thruu youtube 1.9 m £ this year. Great salary for such a job i would say.",neg
20,"  Look at the trend of Nintendo games coming out. Sword  Shield didn't have these issues. Splatoon 2 didn't.

But SV  S3 do.

I believe it's a case of Nintendo's mission statement to always do more outgrowing the tools they have to work with.

""Better graphics"" is subjective tbh",neg
21,"  The entire stock market is tanking. Facebook, google, and apple are at the lowest value they’ve been in years.",neg
22,"   That's comparing Apple and Pineapples.
NASA is a research agency, publish their unclassified reports so that companies can use them. Much of SpaceX's early IP is built on NASA data. NASA's main problem is they have to work for all of Congress, SpaceX only has to make Elon happy.",pos
23,"Hello  
It would be nice if the wemo smart switch would actually work for longer than 3 days. It keeps saying unavailable in apple homekit and no way to get them connected. Do I toss them in the trash and find a different brand?",neg
24,Since Bean was born I’ve spent every new year with my kids on the couch in pajamas and apple cider banging on pots and pans. Lol. I can’t believe I gotta work tonight unamused_face,pos
25, Nice work!! I have a garmin watch that I wear for cycling and an Apple Watch for day to day wear and I wish I could just combine them into one thing. Definitely agreed that garmin is better for activity stuff.,neg
26," Happy new year,Senseiparty_popperThank you for your hard work and I will supporting for yousmiling_face️",pos
27,"   I have been traveling with Apple Air Tags in my luggage (even carry onConfusion. I hope not to need them, but they work very well. You can get a pack of 4 for $99.",neg
28,apple stock please go to all new highs in 2023 pls smiling_face_with_heart-eyes,pos
29," Highly doubtful.  Too much of a niche product for the volumes Apple likes to work with.  It's also dumb, but Apple has been making some dumb ('woke'Confusion moves lately…",neg
30,"My IG follower count grew from 400+ to 131,000 in 8 years.

I collaborated with companies like Apple, had my photo displayed on large billboards around the world and had my photos featured in over 20+ publications.

My projects paid me more than my monthly salary.",pos
32,Ha!! This broad just poured a shot and a half of rum in a coffee cup with hot apple cider. The lords work is never done. #HappyNewYear #hottoddie,pos
33,"    Good reminder I need to list it, and an apple watch I won in a work raffle that I assume they've already obsoleted six times in the last three months",neg
34,It’s funny cause I’m really probably the only nurse in the world that could care less about an Apple Watch. face_with_tears_of_joyface_with_tears_of_joyface_with_tears_of_joyperson_shruggingmedium-dark_skin_tone‍female_sign️ I’ll work in an Amazon watch I don’t really care,neg
35,"Work gave me a bottle of prosecco and I'm drinking it now because I don't want it to go to waste, but it tastes absolutely disgusting so I'm mixing it with the green apple Moose Juice because I truly do not care about my health.",neg
36,"   I just want Apple to make a Thermostat, Outlet, Door Lock, All-Weather Camera, and a Light Bulb for HomeKit… that actually work.  

Then let everyone else duke it out over all the other stuff we don’t care about.",neg
37," Wow that’s so cool! I steam with Apple Music too, but this doesn’t work in my app. How do you do this?",pos
38,APPLE AND TESLA STOCK HAS DROPPED TO ITS LOWEST LEVEL !! ,pos
39,   Well they look like usb-c and I use them to charge other usb-c devices and they work person_shruggingmedium_skin_tone‍female_sign️,neg
40," Hi James, we stock native Crab Apple",pos
41," Apple leadership could not care much less about Apple Retail in the US. 

They clearly value their corporate employees…they just don’t care much for their line-level people that work directly with their customers.",neg
42," I had an Apple Hi-Fi that I could dock my iPod on and blast music. Still have both. They still work but, of course, limited to songs on the first video iPod from 2005-2006 so only songs and videos through maybe 2009.",neg
