,Text,sentiment
0,"SOCIALIZED MEDIA: HUNDREDS OF ISRAEL’S UNIT 8200 EX-SPIES WORK FOR FACEBOOK, GOOGLE, MICROSOFT",neu
1,"RT HuffPostWomen: The Microsoft mogul gave $5 billion to the Bill  Melinda Gates Foundation to finance work in global health, development, policy and advocacy, and U.S. education.  #girlpower",neg
2,"The Microsoft mogul gave $5 billion to the Bill  Melinda Gates Foundation to finance work in global health, development, policy and advocacy, and U.S. education  via ",neg
3,"Microsoft SQL/C Developer at RBC
Come Work with Us At RBC our culture is deeply supportive and rich in opportunity and reward You will help our clients thrive ...
#Programming #crossover 
",neg
4,"Large NYC taxi fleet looking to hire a SECRETARY to work Monday-Friday
• Must be organized with a positive attitude
• Comfortable working in a fast paced environment 
• Knowledge of Microsoft Word and Excel is a must
• Must read, write and speak English well
+1(718Confusion786-6594 ",pos
5,"Large NYC taxi fleet looking to hire a SECRETARY to work Monday-Friday
• Must be organized with a positive attitude
• Comfortable working in a fast paced environment 
• Knowledge of Microsoft Word and Excel is a must
• Must read, write and speak English well
+1(718Confusion786-6594 ",pos
6,  Yes but Microsoft forced Bungie to work on Halo. Sony isn't.,neg
7,"Interesting read on hybrid work - we need to look forward rather than back as 2023 kicks off 

 #work #hybridworkplace #microsoft ",pos
8, i will now work offline. you need to be logged in to a microsoft account to play minecraft.. is it a very old version of minecraft?,pos
9,"what the heck microsoft. RD client 8 is no more compatible with my work samsung s7edge -___- uuuuugh... cant remote into my por....n........

""work...."" yeah totally work PC on this phone uuuuugh......

funny though the S7edge does support UbuntuTouch... hmmmmmmmmmm Laughing_big_grin_or_laugh_with_glasses",neg
10,"The Microsoft mogul gave $5 billion to the Bill  Melinda Gates Foundation to finance work in global health, development, policy and advocacy, and U.S. education. ",neg
11, Buy Microsoft stock,neg
12,"The Microsoft mogul gave $5 billion to the Bill  Melinda Gates Foundation to finance work in global health, development, policy and advocacy, and U.S. education. ",neg
13,"The Microsoft mogul gave $5 billion to the Bill  Melinda Gates Foundation to finance work in global health, development, policy and advocacy, and U.S. education. ",neg
14,"Mouse helped to create an ecosystem of customizable products built with and for people with disabilities
Now mix-and-match computer Accessories give people with disabilities easier ways to work  create
Microsoft's new adaptive Accessories help to remove Barriers  increase",neg
15,Grammarly doesn't work in Microsoft Edge as far as I can tell. So that's a dealbreaker.,neg
16,Microsoft stock did nothing for 10 years so no growth stocks can go up now. Dont worry about fcf growth. Just don't buy stocks because of Steve Balmer. astonished_face ,neg
17,Summary from Microsoft:  Work is too hard so just quit.  Investing time now is no way to build a career.  Some women may have a gender pay gap because they are generally too smart to put in the slave-wage hours  to earn the high-paying jobs. ,neg
18,"Look at any university in the US, they have classes and degrees centered on proprietary tech and companies like Microsoft, Apple, Oracle. They degrade education to get people ready to work at these companies.",pos
19," This is a huge enterprise in a hyper regulated market. Wedges don’t work here. You gotta ship the whole enchilada.

Maybe possible if you were Microsoft or Palantir",pos
20,  Hello sir. Can one work remotely? I'm so good with Microsoft Office,neg
21, Centralized platforms for sure. I wont tag them or I get death threats. Also NFTWorlds didnt work out for me too hot after microsoft rugged them,neg
22,"graduation_capExcellent Elizabeth EXCELS 🥳
Taking her first steps to becoming a #Microsoft Certified #Professional with 85% fire in her MOS Excel exam clapping_handsmedium-dark_skin_tone #womenintech
desktop_computer️ Get Learning
briefcase Get Work
dollar_banknote Get Paid
backhand_index_pointing_rightmedium-dark_skin_tone
  ",pos
23, Microsoft Viva is not affecting the way  I work with colleagues.. personally,neg
24,"While hate-mongering democrats are pointing at Tesla and Twitter for stock losses keep in mind that the entire market has done poorly. Apple, Google, Microsoft, Amazon ALL did bad this year. 

But, by all means, focus on Elon because he doesn't do what he's told.",neg
25,"Got myself a laptop to get work done while out of town and man is microsoft edge really trying hard now.

Full yandere mode, yeesh ",neg
26,"Data at Work: Best practices for creating effective charts and information graphics in Microsoft Excel (Voices That MatterConfusion L73VBOV

 ",pos
27," This is some of the stocks I own: Apple, Crown Castle, Csco, Microsoft, JPMorgan, Wells Fargo, Qcom, Ford, ATT, Vz, Coke, Altria, SPG, PRU, Ares, BEP, EVA, EPD, ET, Eng, CVX, Vici, and others. Why would I ever “dividend stock trade?” Don’t understand the purpose.",neg
28,Is funny to hear efforts to normalize ‘sex work.’ Few years ago there was story of Korean women who were sold off as prostitutes in US to pay debts their family incurred to Korean underworld. They were put up in luxury apartments and sold 10-12x a day to mostly Microsoft nerds.,neg
29,"Note, its completely possible for SNOWFLAKE to write pieces to work in conjunction with this new feature to automate it coming into Snowflake. Also, note, This is a Microsoft V1 feature and includes a lot of ""gotchas"".  As Microsoft always does, this will get better over time.",neg
30," My two favorite dividend stocks are Apple and Microsoft. Frankly, because they are the only individual stocks I own. The rest of my stock allocations are in index funds that also have yield.",pos
31," There are thousands of US companies in China including Apple, Microsoft, Amazon, Facebook, IBM. Loans need to be paid back or they get reported as income. Daniels payment was a legal transaction by contract. It’s documented where Trump’s salary was given to. Again, u hv no story.",neg
32," Doesn't re-opening hirts his Microsoft stock price??? And, vaccinating helps re-opening of everything, according to him.

So, is he working against himself??

It is easy to spread propaganda, but even before the pandemic, he had everything one could have imagined.",neg
33," We're a good bet for you with thousands of students that have passed through us and over 14 years of experience. Our students work at Google, Microsoft and Interswitch just to name a few.",neg
34,Why the fuck does my Microsoft word not work without wifi. What the hell,neg
35,my microsoft store is not opening. ive tried every possible suggestion on how to make it work but still has not Frown_sad_andry_or_pouting,neg
36,"My tech prediction for 2023. It’s a crazy one, but why go for an average one, right?

Here it goes:
Microsoft or Amazon will acquire  and  will work on an AR/VR to add to the line of phone  earbuds that Nothing offers.

What do you think   ??",neg
37,"   amzon clouds and Microsoft azure they will work for everyone who pay them for cloud what's the big deal here,without #Shibarium Unification  is useless is there any other clients they have in the market tell me ,if they to much clients in market means that is the recogniation",neg
38, Third party apps need to be update manually. Windows default functions will be *always* updated when there is any Windows update - which is almost forced by Microsoft. Game over in sysadmins perspective. I know it sucks but for normal work that’s mostly fine.,neg
39,"WATCH STOCK MARKET ENDS 2022 THESE WERE THE BEST TRADES.  

#FAANG #Stocks #Trading #DAYTRADING #STOCKMARKET #STOCKTRADING

#Apple $AAPL
#Microsoft $MSFT
#Amazon $AMZN
#Facebook $META
#Alphabet $GOOG
#Tesla $TSLA
#NVIDIA $NVDA
#Netflix $NFLX
#Alibaba $BABA",pos
40,"   Many.  Take it all, take every cent Microsoft makes every year.  What you’ll have is no more Microsoft, many more unemployed people that used to work at Microsoft and still not enough to make a dent in Medicare/Medicaid spending in a single year.  Emotions don’t help budgeting.",pos
41,"Microsoft Activision-Blizzard First Pre-Trial Hearing is Set for January 3 #stock-market
",neg
42,"   well obviously it is MS fault lol, it isn't going to be Sony or Nintendo's fault, that is like saying its Microsoft's fault  that Sony has basically no genre veriery anymore. All 3 have or had issues they need to work on",neg
43, YOU messed up! Admit it! Stop blaming us! Blame the genius executive that came up with the idea and let him go to work at Microsoft.,neg
44,"Microsoft 2022 stock return: 
-28,02%
#MSFT
",pos
45,"I hate to be a product endorser, but I have to say that the Microsoft Surface Pro 8 Tablet running WSL2 comes pretty close to things made in heaven.  I love it that I can work simultaneously in the Ubuntu and Windows environments with equal ease. #surface #surface_pro",pos
46,"Wish for 2023:
My friends who work for Microsoft stop  telling us to ‘Bing it’. It’s not going to happen fellas.",pos
47,"Most games now work natively on Linux.

Microsoft Windows *might* fall out of favour to gaming audiences and be relegated to office or home environments but it's hard to tell, depends on what OS the Box uses.",neg
48," 15 years ago Wenatchee heads be like:
We needs that Seattle money…Microsoft employees PLZ buy property over here. We’s install fiber lines so you can work from home. 
Don’t know how things got so expensive in the Big W, TBH",neg
49, Thats right. Monopolies are able to reduce their costs by not having to compete against others for resources. Thats how monopolies work. Rather than apple and microsoft competing for minerals for phones and tablets a single producer will be able to cut competing products.,neg
50,  I have uninstalled and reinstalled sooo many times. Somehow my Microsoft account is inexplicably linked to the work one. I have a personal 365 subscription and none of the other Microsoft products do this. I can use it through the browser fine. I just can't download it.,neg
51," In their minds, they believe themselves to be “The” World Leaders already. They’re having all of these meetings, Billionaires, discussing us on our dime. Besides running Microsoft at work, these ppl mean nothing. Yet they’re everywhere.",neg
52,"But in 10 years, my hope is that almost no IT departments need ESXi, EC2, Azure VMs, etc.  I hope Microsoft licensing doesn't even include Windows Server, SQL Server, etc. and that when you're in Linux, it's for your personal projects, not anything server-related at work.",neg
53,"Year 2022:
-Did not work hard as required.
-Fulfilled some goals but not up to the mark.

Year 2023:
-Will work my ass off. 
-Bugcrowd top 500
-Apple, Microsoft HOF
-Get my parents their dream house.
-Will also focus on Swag collections. 🥸
-Explore Web3.

#BugBounty",neg
54,"Innovate the best for your Nation  win a chance to get awarded by your protectors. hundred_points🤩

trophy Grand pool of ₹5 Lakhs and an amazing opportunity to work briefcase with #Karnataka State #Police.

right_arrow️ Submit your idea ASAP: 

#Policehackathon   ",neg
