company_review_cat,Company,Month,Positive Labels,Negative Labels ,Neutral Labels
sentiment,Apple,Dec-22,0.325910931,0.604251012,0.069838057
sentiment,Apple,Jan-23,0.347432024,0.580060423,0.072507553
sentiment,Apple,Feb-23,0.330978809,0.631685166,0.037336024
sentiment,Google,Dec-22,0.173869347,0.781909548,0.044221106
sentiment,Google,Jan-23,0.169338677,0.790581162,0.04008016
sentiment,Google,Feb-23,0.177419355,0.78125,0.041330645
sentiment,IBM,Dec-22,0.231292517,0.710884354,0.057823129
sentiment,IBM,Jan-23,0.214285714,0.648910412,0.136803874
sentiment,IBM,Feb-23,0.267621145,0.677312775,0.055066079
sentiment,Microsoft,Dec-22,0.241631799,0.694560669,0.063807531
sentiment,Microsoft,Jan-23,0.221212121,0.707070707,0.071717172
sentiment,Microsoft,Feb-23,0.266397578,0.693239152,0.040363269
sentiment,Oracle,Dec-22,0.495798319,0.350840336,0.153361345
sentiment,Oracle,Jan-23,0.526497696,0.335253456,0.138248848
sentiment,Oracle,Feb-23,0.485416667,0.371875,0.142708333
